NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,SPG,BPG,TPG
Kristaps Portland Trail Blazerszingis,Washington Wizards,F-C,27.7,65,32.6,27.4,416,0.851,662,0.559,356,0.385,23.2,8.4,2.7,0.9,1.5,2.1
Jimmy Butler,Miami Heat,F,33.6,64,33.4,25.6,555,0.85,785,0.564,103,0.35,22.9,5.8,5.3,1.8,0.3,1.6
Jalen Green,Houston Rockets,G,21.2,75,34.3,28.2,459,0.786,797,0.471,551,0.338,22.3,3.8,3.7,0.8,0.2,2.7
Keldon Johnson,San Antonio Spurs,F-G,23.5,63,32.7,27.9,327,0.749,706,0.523,407,0.329,22,5,2.9,0.7,0.2,2.1
Klay Thompson,Golden State Warriors,G,33.2,68,33.2,26.3,132,0.879,518,0.471,720,0.41,21.9,4.1,2.4,0.7,0.4,1.8
Bojan Bogdanovic,Detroit Pistons,F,34,59,32.1,25.9,303,0.884,529,0.539,353,0.411,21.6,3.8,2.6,0.6,0.1,2.3
Darius Garland,Cleveland Cavaliers,G,23.2,69,35.5,26.9,322,0.863,717,0.492,412,0.41,21.6,2.7,7.8,1.2,0.1,2.9
Desmond Bane,Memphis Grizzlies,G,24.8,58,31.8,26.1,205,0.883,532,0.534,407,0.408,21.5,5,4.4,1,0.4,2.2
Kyle Kuzma,Washington Wizards,F,27.7,64,35,27.9,237,0.73,661,0.533,481,0.333,21.2,7.2,3.7,0.6,0.5,3
Terry Rozier,Charlotte Hornets,G,29.1,63,35.3,26.9,220,0.809,683,0.48,505,0.327,21.1,4.1,5.1,1.2,0.3,2.1
Anfernee Simons,Portland Trail Blazers,G,23.8,62,35,25.1,179,0.894,483,0.528,562,0.377,21.1,2.6,4.1,0.7,0.2,2.1
James HarDenver Nuggets,Philadelphia 76ers,G,33.6,58,36.8,25.1,361,0.867,424,0.495,419,0.384,21,6.1,10.7,1.2,0.5,3.4
CJ McCollum,New Orleans Pelicans,G,31.6,74,35.3,26.4,230,0.774,782,0.469,538,0.392,20.9,4.4,5.8,0.9,0.5,2.4
Jordan Clarkson,Utah Jazz,G,30.8,61,32.6,27.8,245,0.816,572,0.53,459,0.338,20.8,4,4.4,0.5,0.2,3
Tyrese Haliburton,Indiana Pacers,G,23.1,56,33.6,23.9,203,0.867,439,0.572,402,0.4,20.7,3.7,10.4,1.6,0.4,2.5
Bam Adebayo,Miami Heat,C-F,25.7,74,35,25.3,402,0.806,1099,0.545,12,0.083,20.6,9.3,3.2,1.2,0.8,2.5
Jerami Grant,Portland Trail Blazers,F,29.1,63,35.6,22.9,342,0.813,554,0.523,359,0.401,20.5,4.5,2.4,0.8,0.8,1.8
Dejounte Murray,Atlanta Hawks,G,26.6,74,36.4,24.4,190,0.832,932,0.514,387,0.344,20.5,5.3,6.1,1.5,0.3,2.2
Jordan Poole,Golden State Warriors,G,23.8,81,30.1,29.2,411,0.871,637,0.523,632,0.332,20.4,2.7,4.5,0.8,0.3,3.1
Karl-Anthony Towns,Minnesota Timberwolves,C-F,27.4,28,32.9,25.5,129,0.876,253,0.581,156,0.353,20.4,8.1,4.9,0.7,0.6,3
Tyler Herro,Miami Heat,G,23.2,66,35.3,25.6,182,0.934,570,0.495,536,0.379,20.3,5.4,4.2,0.8,0.2,2.4
Tyrese Maxey,Philadelphia 76ers,G,22.4,60,33.6,24.1,213,0.845,543,0.514,370,0.432,20.3,2.9,3.5,0.8,0.1,1.3
Kelly Oubre Jr.,Charlotte Hornets,F-G,27.3,48,32.2,26.5,208,0.76,480,0.51,339,0.319,20.3,5.2,1.1,1.4,0.4,1.3
Paolo Banchero,Orlando Magic,F,20.4,72,33.7,27.5,534,0.738,837,0.471,285,0.298,20,6.9,3.7,0.8,0.5,2.8
Jamal Murray,Denver Nuggets,G,26.1,65,32.8,26.1,216,0.833,609,0.494,432,0.398,20,4,6.2,1,0.2,2.2
Cade Cunningham,Detroit Pistons,G,21.5,12,33.4,30,43,0.837,163,0.466,61,0.279,19.9,6.2,6,0.8,0.6,3.3
RJ Barrett,New York Knicks,F-G,22.8,72,33.9,26.3,387,0.742,773,0.495,387,0.31,19.6,5.1,2.8,0.4,0.2,2.2
Jrue Holiday,Milwaukee Bucks,G,32.8,67,32.6,25,177,0.859,612,0.542,411,0.384,19.3,5.1,7.4,1.2,0.4,2.9
Fred VanVleet,Toronto Raptors,G,29.1,69,36.7,23.2,283,0.898,506,0.455,606,0.342,19.3,4.1,7.2,1.8,0.6,2
Kevin Portland Trail Blazerster Jr.,Houston Rockets,G-F,22.9,59,34.3,24.3,264,0.784,499,0.501,385,0.366,19.2,5.3,5.7,1.4,0.3,3.2
Domantas Sabonis,Sacramento Kings,F-C,26.9,78,34.8,21.3,435,0.743,846,0.638,83,0.373,19.2,12.4,7.3,0.8,0.5,2.9
Franz Wagner,Orlando Magic,F,21.6,79,32.8,23.5,316,0.839,754,0.544,359,0.362,18.7,4.1,3.5,0.9,0.2,2.1
Jaren Jackson Jr.,Memphis Grizzlies,F-C,23.6,63,28.4,24.7,306,0.788,540,0.585,282,0.355,18.6,6.8,1,1,3,1.7
Devin Vassell,San Antonio Spurs,G-F,22.6,38,31,24.4,100,0.78,329,0.48,266,0.387,18.5,3.9,3.6,1.1,0.4,1.5
Deandre Ayton,Phoenix Suns,C,24.7,67,30.4,22.9,200,0.76,863,0.597,24,0.292,18,10,1.7,0.6,0.8,1.8
Myles Turner,Indiana Pacers,C-F,27,62,29.4,22.1,276,0.783,484,0.638,250,0.372,18,7.5,1.4,0.6,2.3,1.7
D'Angelo Russell,Minnesota Timberwolves,G,27.1,54,32.9,22.8,167,0.856,348,0.546,378,0.392,17.9,3.1,6.2,1.1,0.4,2.7
Nikola Vucevic,Chicago Bulls,C,32.5,81,33.7,21.8,158,0.835,792,0.596,347,0.349,17.8,11.1,3.3,0.7,0.7,1.7
Spencer Dinwiddie,Dallas Mavericks,G,30,53,34.1,21.9,207,0.821,353,0.504,341,0.405,17.7,3.1,5.2,0.7,0.3,1.7
MiCharlotte Hornetsel Portland Trail Blazerster Jr.,Denver Nuggets,F,24.8,62,29,22.7,120,0.8,363,0.579,454,0.414,17.4,5.5,1,0.6,0.5,1.1
D'Angelo Russell,Los Angeles Lakers,G,27.1,16,30.8,22.8,46,0.739,105,0.552,103,0.417,17.4,3,6.1,0.6,0.4,2.3
Gary Trent Jr.,Toronto Raptors,G-F,24.2,65,32.2,21.7,200,0.835,479,0.493,443,0.366,17.3,2.6,1.6,1.6,0.2,0.8
Mikal Bridges,Phoenix Suns,F,26.6,56,36.4,19.2,174,0.897,503,0.503,261,0.387,17.2,4.3,3.6,1.2,0.8,1.4
Andrew Wiggins,Golden State Warriors,F,28.1,37,32.2,21.4,72,0.611,304,0.53,225,0.396,17.1,5,2.3,1.2,0.8,1.3
O.G. Anunoby,Toronto Raptors,F,25.7,67,35.6,19.5,167,0.838,518,0.539,367,0.387,16.8,5,2,1.9,0.7,2
Buddy Hield,Indiana Pacers,G,30.3,79,31.1,21,129,0.822,361,0.518,671,0.422,16.8,5,2.8,1.2,0.3,1.7
New Orleans Pelicansman Powell,LA Clippers,G,29.9,59,26,25.8,270,0.815,404,0.53,284,0.401,16.8,2.9,1.9,0.8,0.3,1.7
Josh Giddey,Oklahoma City Thunder,G,20.5,76,31.2,24.5,145,0.731,884,0.524,234,0.325,16.6,7.9,6.2,0.8,0.4,2.8
Cameron Johnson,Brooklyn Nets,F,27.1,25,30.8,21.1,87,0.851,145,0.572,156,0.372,16.6,4.8,2.1,1.4,0.3,1.1
Bennedict Mathurin,Indiana Pacers,G-F,20.8,77,28.4,24.6,439,0.827,631,0.49,307,0.319,16.6,4.1,1.4,0.6,0.2,1.9
Christian Wood,Dallas Mavericks,F,27.5,67,25.9,26.4,281,0.772,490,0.594,279,0.376,16.6,7.3,1.8,0.4,1.1,1.8
Spencer Dinwiddie,Brooklyn Nets,G,30,26,35.3,22.5,123,0.797,207,0.488,149,0.289,16.5,4.1,9.1,1.1,0.3,2.1
Aaron Gordon,Denver Nuggets,F,27.6,68,30.3,21.1,312,0.609,588,0.628,173,0.347,16.3,6.6,3,0.8,0.8,1.4
JaDenver Nuggets Ivey,Detroit Pistons,G,21.2,73,31.1,25.4,356,0.747,620,0.458,343,0.344,16.3,3.9,5.3,0.8,0.2,3.2
Evan Mobley,Cleveland Cavaliers,C,21.8,78,34.7,20.2,303,0.673,840,0.595,102,0.216,16.3,9.1,2.9,0.8,1.5,1.9
Brooklyn Netsok Lopez,Milwaukee Bucks,C,35,78,30.4,19.3,190,0.784,535,0.637,364,0.374,15.9,6.7,1.3,0.5,2.5,1.4
Russell WestBrooklyn Netsok,Los Angeles Lakers,G,34.4,52,28.7,28.9,238,0.655,516,0.467,213,0.296,15.9,6.2,7.5,1,0.4,3.6
P.J. Washington Wizardshington,Charlotte Hornets,F,24.6,73,32.6,20.6,174,0.73,550,0.518,428,0.348,15.7,4.9,2.4,0.9,1.1,1.5
Wendell Carter Jr.,Orlando Magic,C-F,24,56,29.9,20.6,195,0.738,388,0.624,222,0.36,15.5,8.8,2.3,0.5,0.6,1.9
Scottie Barnes,Toronto Raptors,F,21.7,76,34.9,20.4,246,0.772,785,0.504,222,0.284,15.4,6.7,4.8,1.1,0.8,2
De'Andre Hunter,Atlanta Hawks,F-G,25.4,66,32,19.6,204,0.824,530,0.519,283,0.35,15.4,4.3,1.4,0.5,0.3,1.2
Russell WestBrooklyn Netsok,LA Clippers,G,34.4,20,29.7,25,66,0.652,174,0.552,69,0.348,15.4,4.8,7.5,1.1,0.5,3.5
Kevin Huerter,Sacramento Kings,G-F,24.6,74,29.5,19.8,131,0.725,351,0.604,506,0.401,15.2,3.4,2.9,1.1,0.3,1.3
Khris Middleton,Milwaukee Bucks,F,31.7,33,24.3,27.4,102,0.902,244,0.516,162,0.315,15.1,4.2,4.9,0.7,0.2,2.2
Harrison Barnes,Sacramento Kings,F,30.9,81,32.6,17,411,0.847,439,0.551,346,0.367,15,4.5,1.6,0.7,0.1,1
Malcolm Brooklyn Netsgdon,Boston Celtics,G,30.3,67,26,22.8,184,0.87,435,0.51,297,0.444,14.9,4.2,3.7,0.7,0.3,1.5
